Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15248442,2022-08-01 00:03:07,2021-07-27 00:26:03,31858793,6435476186,31858793,202,1923,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248442/SRR15248442.lite.1,SRX11554014,16_6_P4,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592740,SAMN20398760,simple,702717,Tuta absoluta,16_6_P,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,658373581182C1274FD3855B8C2A485A,AD5535D4356E1DE8C57D6C4FC6DEBD6D
SRR15248443,2022-08-01 00:03:07,2021-07-27 00:37:25,34139899,6896259598,34139899,202,2019,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248443/SRR15248443.lite.1,SRX11554013,16_6_P3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592740,SAMN20398760,simple,702717,Tuta absoluta,16_6_P,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,D9B71073ACE2A70638D320A6B25E503A,D9287136F1C1433475F47154630F6065
SRR15248446,2022-08-01 00:03:07,2021-07-27 00:39:46,37629243,7601107086,37629243,202,2254,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR015/15248/SRR15248446/SRR15248446.lite.1,SRX11554010,16_6_P2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592740,SAMN20398760,simple,702717,Tuta absoluta,16_6_P,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,A3F4EE40A3FC0BF2C5E649A44F1F3CC2,7D6C564BD6859C96DB19EA899923C0D9
SRR15248447,2022-08-01 00:03:07,2021-07-27 00:41:01,36066381,7285408962,36066381,202,2145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248447/SRR15248447.lite.1,SRX11554009,16_6_P1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592740,SAMN20398760,simple,702717,Tuta absoluta,16_6_P,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,D66E2FBD1481941D65E8BB5C3B5FA522,7F3B4BB9AE3EBF5549E7BA052A6485A5
SRR15248436,2022-08-01 00:03:07,2021-07-27 00:30:40,34077367,6883628134,34077367,202,2034,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15248/SRR15248436/SRR15248436.lite.1,SRX11554020,ES-Sus2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592741,SAMN20398762,simple,702717,Tuta absoluta,ES-Sus,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,A4214B4A9C8218F0CCC61E986B34E8FA,1999CE036C26B9060C9DDA3C09557C70
SRR15248437,2022-08-01 00:03:07,2021-07-27 00:35:28,31845801,6432851802,31845801,202,1921,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15248/SRR15248437/SRR15248437.lite.1,SRX11554019,ES-Sus1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592741,SAMN20398762,simple,702717,Tuta absoluta,ES-Sus,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,C4A43BA3FBE09E3FA02D26837F7497C8,1D6C7105EDD7545A537F19147B60B837
SRR15248444,2022-08-01 00:03:07,2021-07-27 00:30:38,32730873,6611636346,32730873,202,1947,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248444/SRR15248444.lite.1,SRX11554012,ES-Sus4,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592741,SAMN20398762,simple,702717,Tuta absoluta,ES-Sus,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,CC199D34D024FAEE95C36C5950E5EA72,CEEC4567E9C9A04E2E970C8F7D002E76
SRR15248445,2022-08-01 00:03:07,2021-07-27 00:38:41,34827516,7035158232,34827516,202,2079,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248445/SRR15248445.lite.1,SRX11554011,ES-Sus3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592741,SAMN20398762,simple,702717,Tuta absoluta,ES-Sus,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,3E8061D5CD7CD6CF87C525849583B45F,23772982A759E51786597FABE9642EC2
SRR15248438,2022-08-01 00:03:07,2021-07-27 00:30:24,37006034,7475218868,37006034,202,2219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15248/SRR15248438/SRR15248438.lite.1,SRX11554018,16_6_S4,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592742,SAMN20398761,simple,702717,Tuta absoluta,16_6_S,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,F15BBF5B6BC6598E4E2B08D23F6A0DEC,7F4C81589799B5DF263109A8B7CD4314
SRR15248439,2022-08-01 00:03:07,2021-07-27 00:27:09,30846047,6230901494,30846047,202,1830,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR015/15248/SRR15248439/SRR15248439.lite.1,SRX11554017,16_6_S3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP329880,PRJNA749726,,749726,SRS9592742,SAMN20398761,simple,702717,Tuta absoluta,16_6_S,,,,,,,no,,,,,FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,SRA1264583,,public,39D9A8877A8B702938A9B3C5E31CAC7C,7B5FB7D779BF561BEF8C8A1B66D84AB8
