sample_id,condition,study_id
E1_Ctrl_R1,control,Estudo_1
E1_Ctrl_R2,control,Estudo_1
E1_Ctrl_R3,control,Estudo_1
E1_Str_R1,stress,Estudo_1
E1_Str_R2,stress,Estudo_1
E1_Str_R3,stress,Estudo_1
E2_Ctrl_R1,control,Estudo_2
E2_Ctrl_R2,control,Estudo_2
E2_Ctrl_R3,control,Estudo_2
E2_Str_R1,stress,Estudo_2
E2_Str_R2,stress,Estudo_2
E2_Str_R3,stress,Estudo_2
E3_Ctrl_R1,control,Estudo_3
E3_Ctrl_R2,control,Estudo_3
E3_Ctrl_R3,control,Estudo_3
E3_Str_R1,stress,Estudo_3
E3_Str_R2,stress,Estudo_3
E3_Str_R3,stress,Estudo_3
