sample_id,condition,study_id
SRR15248438,treatment,emamectina
SRR15248439,treatment,emamectina
SRR15248440,control,emamectina
SRR15248441,control,emamectina
SRR15248442,treatment,emamectina
SRR15248443,treatment,emamectina
SRR15248446,control,emamectina
SRR15248447,control,emamectina
SRR33779426,treatment,spinosad
SRR33779427,treatment,spinosad
SRR33779428,treatment,spinosad
SRR33779429,control,spinosad
SRR33779430,control,spinosad
SRR33779431,control,spinosad
SRR35985984,treatment,abamectina
SRR35985985,treatment,abamectina
SRR35985986,treatment,abamectina
SRR35985987,treatment,abamectina
SRR35985988,treatment,abamectina
SRR35985989,control,abamectina
SRR35985990,control,abamectina
SRR35985991,control,abamectina
SRR35985992,treatment,abamectina
SRR35985993,treatment,abamectina
SRR35985994,treatment,abamectina
SRR35985995,control,abamectina
