Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35985988,2025-11-11 22:18:22,2025-11-11 10:26:13,20325584,6063542607,20325584,298,1808,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985988/SRR35985988.lite.1,SRX31035281,Tuta absoluta treated with LC10 of abamectin LC10-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025192,SAMN53162747,simple,702717,Tuta absoluta,LC10-2,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,3AF8F5B3751035B37085E67F2AC31BD2,C4750CFE6172F7EDF62F48F3407D0BC8
SRR35985987,2025-11-11 22:18:22,2025-11-11 10:26:13,19388498,5768300860,19388498,297,1720,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985987/SRR35985987.lite.1,SRX31035282,Tuta absoluta treated with LC10 of abamectin LC10-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025193,SAMN53162748,simple,702717,Tuta absoluta,LC10-3,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,AE451CF28AE9A07669A78D517813B7C8,378957BF4920653BAB36D118357F1A76
SRR35985986,2025-11-11 22:18:22,2025-11-11 10:34:51,19827321,5906776378,19827321,297,1762,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985986/SRR35985986.lite.1,SRX31035283,Tuta absoluta treated with LC10 of abamectin LC10-4,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025195,SAMN53162749,simple,702717,Tuta absoluta,LC10-4,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,D3F3587693BF423D430F49B14C834E5B,0E5E88457D195BE5FCC5CBEB76DF96D0
SRR35985985,2025-11-11 22:18:22,2025-11-11 10:25:56,23735176,7055192580,23735176,297,2088,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985985/SRR35985985.lite.1,SRX31035284,Tuta absoluta treated with LC20 of abamectin LC20-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025194,SAMN53162750,simple,702717,Tuta absoluta,LC20-1,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,07B3B0F47058C7CA08C05EF7DA06AA9B,C58CE661ADC45B3D7D32F08087EB4D65
SRR35985984,2025-11-11 22:18:22,2025-11-11 10:25:42,25097597,7372805952,25097597,293,2208,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985984/SRR35985984.lite.1,SRX31035285,Tuta absoluta treated with LC20 of abamectin LC20-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025196,SAMN53162751,simple,702717,Tuta absoluta,LC20-2,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,BAFF1CB7619F83730E1C2E6D311E18A1,6FC915565EE6BDDC930C4C28E2A0386D
SRR35985991,2025-11-11 22:18:22,2025-11-11 10:30:41,20524966,6125481826,20524966,298,1756,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985991/SRR35985991.lite.1,SRX31035278,Tuta absoluta Control-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025189,SAMN53162744,simple,702717,Tuta absoluta,Control-3,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,A1599BAC2C388A8E7A4ACABD0DFD40A5,178241CC8D9F2C0120DCD44E05BE87F3
SRR35985990,2025-11-11 22:18:22,2025-11-11 10:21:51,19354760,5765764438,19354760,297,1757,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985990/SRR35985990.lite.1,SRX31035279,Tuta absoluta Control-4,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025190,SAMN53162745,simple,702717,Tuta absoluta,Control-4,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,DE5E369EF5E2F59E5112735770B1F949,47A8B75E21718640A07C95357467F261
SRR35985989,2025-11-11 22:18:22,2025-11-11 10:24:37,21671174,6471163291,21671174,298,1861,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985989/SRR35985989.lite.1,SRX31035280,Tuta absoluta treated with LC10 of abamectin LC10-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025191,SAMN53162746,simple,702717,Tuta absoluta,LC10-1,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,AE6B3C40F2ECB409554397C0AF6605E0,819B536BF63429A1FC72AF4CEDDEE71A
SRR35985993,2025-11-11 22:18:22,2025-11-11 10:35:28,24261015,7162153865,24261015,295,2141,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985993/SRR35985993.lite.1,SRX31035276,Tuta absoluta treated with LC20 of abamectin LC20-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025187,SAMN53162752,simple,702717,Tuta absoluta,LC20-3,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,2E1D3AAAA5B75B53DF6D8BD5A3D76565,3CF68F6CB4DA716F1A51FEF28D553C0F
SRR35985992,2025-11-11 22:18:22,2025-11-11 10:28:34,24362669,7192684432,24362669,295,2122,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR035/35985/SRR35985992/SRR35985992.lite.1,SRX31035277,Tuta absoluta treated with LC20 of abamectin LC20-4,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP643541,PRJNA1359366,,1359366,SRS27025188,SAMN53162753,simple,702717,Tuta absoluta,LC20-4,,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,SRA2273292,,public,173F366C67D63DA9102107BB8D188110,B793FB61A78B674740AD288BCB43986C
